ds,precio_ref,unidades_total,monto_total
2020-05-22,1150.0,50,49500
2020-05-23,1150.0,32,31680
2020-05-24,1150.0,41,40590
2020-05-25,1150.0,52,51480
2020-05-26,1150.0,36,35640
2020-05-27,1150.0,36,35640
2020-05-28,1150.0,44,43560
2020-05-29,1150.0,34,33660
2020-05-30,1150.0,56,55440
2020-05-31,1150.0,23,22770
2020-06-01,1150.0,40,39600
2020-06-02,1022.0,30,26500
2020-06-03,990.0,20,19800
2020-06-04,990.0,39,38610
2020-06-05,990.0,41,40590
2020-06-06,990.0,21,20790
2020-06-07,990.0,41,40590
2020-06-08,990.0,27,26730
2020-06-09,990.0,52,51480
2020-06-10,990.0,26,25740
2020-06-11,990.0,33,32670
2020-06-12,990.0,40,39600
2020-06-13,990.0,18,17820
2020-06-14,990.0,12,11880
2020-06-15,990.0,19,18810
2020-06-16,990.0,25,24750
2020-06-17,990.0,20,19800
2020-06-18,990.0,23,22770
2020-06-19,990.0,26,25740
2020-06-20,990.0,17,16830
2020-06-21,990.0,17,16830
2020-06-22,990.0,21,20790
2020-06-23,990.0,22,21780
2020-06-24,990.0,22,21780
2020-06-25,990.0,27,26730
2020-06-26,990.0,33,32670
2020-06-27,990.0,34,33660
2020-06-28,990.0,24,23760
2020-06-29,990.0,20,19800
2020-06-30,990.0,21,20790
2020-07-01,990.0,31,30690
2020-07-02,990.0,48,47520
2020-07-03,990.0,28,27720
2020-07-04,990.0,31,30690
2020-07-05,990.0,29,28710
2020-07-06,990.0,31,30690
2020-07-07,990.0,33,32670
2020-07-08,990.0,30,29700
2020-07-09,990.0,35,34650
2020-07-10,990.0,45,44550
2020-07-11,990.0,35,34650
2020-07-12,990.0,39,38610
2020-07-13,990.0,36,35640
2020-07-14,990.0,27,26730
2020-07-15,990.0,34,33660
2020-07-16,990.0,16,15840
2020-07-17,990.0,23,22770
2020-07-18,990.0,17,16830
2020-07-19,990.0,20,19800
2020-07-20,990.0,38,37620
2020-07-21,990.0,29,28710
2020-07-22,990.0,28,27720
2020-07-23,990.0,41,40590
2020-07-24,990.0,45,44550
2020-07-25,990.0,33,32670
2020-07-26,990.0,23,22770
2020-07-27,990.0,33,32670
2020-07-28,990.0,45,44550
2020-07-29,990.0,38,37510
2020-07-30,990.0,36,35640
2020-07-31,990.0,56,55440
2020-08-01,990.0,47,46530
2020-08-02,990.0,67,66330
2020-08-03,990.0,35,34650
2020-08-04,990.0,45,44550
2020-08-05,990.0,47,46530
2020-08-06,990.0,42,41580
2020-08-07,990.0,63,62370
2020-08-08,990.0,46,45540
2020-08-09,990.0,54,53460
2020-08-10,990.0,41,40590
2020-08-11,990.0,45,44550
2020-08-12,990.0,53,52470
2020-08-13,990.0,48,47520
2020-08-14,990.0,32,31680
2020-08-15,990.0,47,46530
2020-08-16,990.0,35,34650
2020-08-17,990.0,48,47520
2020-08-18,990.0,37,35870
2020-08-19,990.0,52,47881
2020-08-20,990.0,49,45850
2020-08-21,990.0,59,55750
2020-08-22,990.0,38,35340
2020-08-23,990.0,34,33280
2020-08-24,990.0,41,39450
2020-08-25,990.0,43,39530
2020-08-26,990.0,59,52710
2020-08-27,990.0,65,58650
2020-08-28,990.0,47,43870
2020-08-29,990.0,48,43530
2020-08-30,990.0,71,64020
2020-08-31,990.0,48,45620
2020-09-01,990.0,66,58500
2020-09-02,990.0,81,73350
2020-09-03,990.0,69,62990
2020-09-04,990.0,57,51870
2020-09-05,990.0,79,70610
2020-09-06,990.0,50,45320
2020-09-07,990.0,51,47070
2020-09-08,990.0,55,50650
2020-09-09,990.0,60,55410
2020-09-10,990.0,63,57430
2020-09-11,990.0,85,79371
2020-09-12,990.0,24,21750
2020-09-13,990.0,47,43490
2020-09-14,990.0,98,88813
2020-09-15,990.0,55,50270
2020-09-16,990.0,81,74110
2020-09-17,990.0,77,70150
2020-09-18,990.0,38,34960
2020-09-19,990.0,47,42503
2020-09-20,990.0,29,27190
2020-09-21,990.0,52,45933
2020-09-22,990.0,64,57990
2020-09-23,990.0,73,66843
2020-09-24,990.0,76,68828
2020-09-25,990.0,71,62413
2020-09-26,990.0,84,73343
2020-09-27,990.0,53,48613
2020-09-28,990.0,63,57542
2020-09-29,990.0,76,67358
2020-09-30,990.0,70,63954
2020-10-01,990.0,78,70879
2020-10-02,990.0,72,68620
2020-10-03,990.0,43,40133
2020-10-04,990.0,52,48635
2020-10-05,990.0,68,62514
2020-10-06,990.0,65,59305
2020-10-07,990.0,60,58214
2020-10-08,990.0,77,73785
2020-10-09,990.0,81,79434
2020-10-10,990.0,50,49393
2020-10-11,990.0,50,48823
2020-10-12,990.0,40,38974
2020-10-13,990.0,72,68431
2020-10-14,990.0,66,64705
2020-10-15,990.0,67,65625
2020-10-16,990.0,80,77464
2020-10-17,990.0,65,62809
2020-10-18,990.0,54,51832
2020-10-19,990.0,62,60010
2020-10-20,990.0,99,96956
2020-10-21,990.0,72,70647
2020-10-22,990.0,86,81537
2020-10-23,990.0,79,76277
2020-10-24,990.0,67,63913
2020-10-25,990.0,92,90332
2020-10-26,990.0,74,71525
2020-10-27,990.0,61,59090
2020-10-28,990.0,93,90490
2020-10-29,990.0,81,76691
2020-10-30,990.0,105,103494
2020-10-31,990.0,53,51978
2020-11-01,990.0,46,45433
2020-11-02,990.0,65,62727
2020-11-03,990.0,66,64498
2020-11-04,990.0,72,70227
2020-11-05,990.0,95,90160
2020-11-06,990.0,138,129298
2020-11-07,990.0,118,113446
2020-11-08,990.0,72,69404
2020-11-09,990.0,61,58120
2020-11-10,990.0,61,56520
2020-11-11,990.0,90,82475
2020-11-12,990.0,51,47768
2020-11-13,990.0,75,69648
2020-11-14,990.0,80,74944
2020-11-15,990.0,68,61178
2020-11-16,990.0,59,55328
2020-11-17,990.0,47,44257
2020-11-18,990.0,74,67940
2020-11-19,990.0,32,30160
2020-11-20,990.0,93,84275
2020-11-21,990.0,79,71224
2020-11-22,990.0,69,63248
2020-11-23,990.0,52,48060
2020-11-24,990.0,83,75858
2020-11-25,990.0,81,74110
2020-11-26,990.0,62,57960
2020-11-27,990.0,92,83983
2020-11-28,990.0,103,92850
2020-11-29,990.0,86,78300
2020-11-30,990.0,94,86980
2020-12-01,990.0,66,59640
2020-12-02,990.0,79,71750
2020-12-03,990.0,71,64088
2020-12-04,990.0,58,52860
2020-12-05,990.0,40,35420
2020-12-06,990.0,33,29630
2020-12-07,990.0,37,33970
2020-12-08,990.0,36,32600
2020-12-09,990.0,74,67940
2020-12-10,990.0,80,74640
2020-12-11,990.0,87,78530
2020-12-12,990.0,74,68320
2020-12-13,990.0,59,53850
2020-12-14,990.0,78,72280
2020-12-15,990.0,86,79820
2020-12-16,990.0,84,78220
2020-12-17,990.0,85,77131
2020-12-18,990.0,69,64510
2020-12-19,990.0,59,54230
2020-12-20,990.0,68,62000
2020-12-21,990.0,99,92310
2020-12-22,990.0,71,67250
2020-12-23,990.0,78,70000
2020-12-24,990.0,51,47450
2020-12-25,990.0,52,47300
2020-12-26,990.0,32,30920
2020-12-27,990.0,32,30160
2020-12-28,990.0,71,64860
2020-12-29,990.0,103,95130
2020-12-30,990.0,98,90560
2020-12-31,990.0,62,56930
2021-01-01,990.0,60,53320
2021-01-02,990.0,47,44360
2021-01-03,990.0,38,36100
2021-01-04,990.0,71,68120
2021-01-05,990.0,82,73960
2021-01-06,990.0,91,82490
2021-01-07,990.0,77,71480
2021-01-08,990.0,75,69690
2021-01-09,990.0,36,32220
2021-01-10,990.0,54,48520
2021-01-11,990.0,107,96810
2021-01-12,990.0,93,83139
2021-01-13,990.0,71,63830
2021-01-14,990.0,81,72970
2021-01-15,990.0,99,90410
2021-01-16,990.0,51,46310
2021-01-17,990.0,50,44940
2021-01-18,990.0,61,55070
2021-01-19,990.0,74,68129
2021-01-20,990.0,84,74040
2021-01-21,990.0,85,73890
2021-01-22,990.0,86,76590
2021-01-23,990.0,65,58080
2021-01-24,990.0,41,37550
2021-01-25,990.0,92,83100
2021-01-26,990.0,81,74490
2021-01-27,990.0,74,69044
2021-01-28,1016.0,79,73617
2021-01-29,1050.0,56,55904
2021-01-30,1050.0,42,40805
2021-01-31,1050.0,48,48120
2021-02-01,1050.0,71,68994
2021-02-02,1050.0,70,69282
2021-02-03,1050.0,58,60173
2021-02-04,1050.0,61,63814
2021-02-05,1050.0,68,69753
2021-02-06,1050.0,63,65194
2021-02-07,1050.0,49,51450
2021-02-08,1050.0,88,90987
2021-02-09,1050.0,84,86082
2021-02-10,1050.0,65,67542
2021-02-11,1050.0,90,92617
2021-02-12,1050.0,68,69751
2021-02-13,1050.0,64,66257
2021-02-14,1050.0,63,64957
2021-02-15,1050.0,60,61589
2021-02-16,1050.0,83,85253
2021-02-17,1050.0,72,73012
2021-02-18,1050.0,83,85501
2021-02-19,1050.0,90,93323
2021-02-20,1050.0,55,57500
2021-02-21,1050.0,59,61450
2021-02-22,1050.0,85,87131
2021-02-23,1050.0,72,74422
2021-02-24,1050.0,69,71964
2021-02-25,1050.0,70,72087
2021-02-26,1050.0,68,69737
2021-02-27,1050.0,60,62293
2021-02-28,1050.0,61,63578
2021-03-01,1050.0,52,54350
2021-03-02,1050.0,78,80690
2021-03-03,1050.0,74,76287
2021-03-04,1050.0,55,57042
2021-03-05,1050.0,76,78158
2021-03-06,1050.0,49,50278
2021-03-07,1050.0,53,54664
2021-03-08,1050.0,50,51087
2021-03-09,1050.0,60,58057
2021-03-10,1050.0,57,55993
2021-03-11,1050.0,60,58573
2021-03-12,1050.0,86,81122
2021-03-13,1050.0,28,27934
2021-03-14,1050.0,57,59654
2021-03-15,1050.0,84,75117
2021-03-16,1050.0,79,74228
2021-03-17,1050.0,72,67634
2021-03-18,1050.0,89,81984
2021-03-19,1050.0,92,86670
2021-03-20,1050.0,35,32784
2021-03-21,1050.0,28,26900
2021-03-22,1050.0,53,49385
2021-03-23,1050.0,48,46470
2021-03-24,1050.0,37,35350
2021-03-25,1050.0,50,46070
2021-03-26,1050.0,54,50200
2021-03-27,1050.0,7,6734
2021-03-28,1050.0,9,8519
2021-03-29,1050.0,47,44420
2021-03-30,1050.0,41,38285
2021-03-31,1050.0,39,36700
2021-04-01,1050.0,40,37832
2021-04-02,1050.0,35,31785
2021-04-03,1050.0,8,8400
2021-04-04,1050.0,26,23500
2021-04-05,1050.0,54,52735
2021-04-06,1050.0,63,58884
2021-04-07,1050.0,65,59750
2021-04-08,1050.0,49,46800
2021-04-09,1050.0,77,71235
2021-04-10,1050.0,34,32235
2021-04-11,1050.0,37,35584
2021-04-12,1050.0,57,51884
2021-04-13,1050.0,59,53806
2021-04-14,1050.0,41,39050
2021-04-15,1050.0,55,49320
2021-04-16,1050.0,51,48550
2021-04-17,1050.0,46,43871
2021-04-18,1050.0,23,22400
2021-04-19,1050.0,31,27731
2021-04-20,1050.0,38,33685
2021-04-21,1050.0,62,57600
2021-04-22,1050.0,48,43935
2021-04-23,1050.0,50,46534
2021-04-24,1050.0,44,42734
2021-04-25,1050.0,16,14300
2021-04-26,1050.0,30,28700
2021-04-27,1050.0,48,44934
2021-04-28,1050.0,44,45485
2021-04-29,1050.0,41,43050
2021-04-30,1050.0,55,56821
2021-05-01,1050.0,35,36750
2021-05-02,1050.0,37,37918
2021-05-03,1050.0,51,52085
2021-05-04,1050.0,62,64634
2021-05-05,1050.0,51,53550
2021-05-06,1050.0,73,76399
2021-05-07,1050.0,68,70004
2021-05-08,1050.0,45,46534
2021-05-09,1050.0,34,35700
2021-05-10,1050.0,56,58085
2021-05-11,1050.0,42,43634
2021-05-12,1050.0,37,38850
2021-05-13,1050.0,28,29400
2021-05-14,1050.0,55,57284
2021-05-17,1050.0,40,41999
2021-05-18,1050.0,40,42000
2021-05-19,1050.0,50,51784
2021-05-20,1050.0,43,44684
2021-05-21,1050.0,48,49684
2021-05-22,1050.0,36,37800
2021-05-23,1050.0,45,54719
2021-05-24,1050.0,53,54720
2021-05-25,1050.0,69,68750
2021-05-26,1050.0,57,56584
2021-05-27,1050.0,48,47200
2021-05-28,1050.0,82,79234
2021-05-29,1050.0,38,36384
2021-05-30,1050.0,49,48185
2021-05-31,1050.0,84,81484
2021-06-01,1050.0,82,77050
2021-06-02,1050.0,67,65550
2021-06-03,1050.0,65,63450
2021-06-04,1050.0,56,52669
2021-06-05,1050.0,48,45200
2021-06-06,1050.0,27,25550
2021-06-07,1050.0,42,40000
2021-06-08,1050.0,51,49550
2021-06-09,1050.0,82,77835
2021-06-10,1050.0,56,54400
2021-06-11,1050.0,87,83851
2021-06-12,1050.0,53,48871
2021-06-13,1050.0,45,43335
2021-06-14,1050.0,43,40900
2021-06-15,1050.0,45,43250
2021-06-16,1050.0,47,54850
2021-06-17,1050.0,57,56250
2021-06-18,1050.0,45,45250
2021-06-19,1050.0,49,47352
2021-06-20,1050.0,23,21750
2021-06-21,1050.0,50,47202
2021-06-22,1050.0,39,38300
2021-06-23,1050.0,42,40900
2021-06-24,1050.0,51,49150
2021-06-25,1050.0,47,44950
2021-06-26,1050.0,41,40250
2021-06-27,1050.0,41,40400
2021-06-28,1050.0,42,40900
2021-06-29,1050.0,51,48900
2021-06-30,1050.0,64,62950
2021-07-01,1050.0,63,60550
2021-07-02,1050.0,78,73643
2021-07-03,1050.0,31,28950
2021-07-04,1050.0,57,55450
2021-07-05,1050.0,62,58600
2021-07-06,1050.0,27,34350
2021-07-07,1050.0,83,81150
2021-07-08,1050.0,62,59800
2021-07-09,1050.0,58,57850
2021-07-10,1050.0,47,44600
2021-07-11,1050.0,58,57700
2021-07-12,1050.0,44,43800
2021-07-13,1050.0,59,58100
2021-07-14,1050.0,48,50400
2021-07-15,1050.0,70,75900
2021-07-16,1050.0,72,75599
2021-07-17,1050.0,67,70350
2021-07-18,1050.0,67,70350
2021-07-19,1050.0,54,56700
2021-07-20,1050.0,63,69200
2021-07-21,1050.0,50,52500
2021-07-22,1050.0,58,60900
2021-07-23,1050.0,45,47250
2021-07-24,1050.0,43,45150
2021-07-25,1050.0,39,40700
2021-07-26,1050.0,39,40700
2021-07-27,1050.0,45,47250
2021-07-28,1050.0,38,39650
2021-07-29,1050.0,58,60900
2021-07-30,1050.0,60,63000
2021-07-31,1050.0,56,58799
2021-08-01,1050.0,72,75600
2021-08-02,1050.0,47,49350
2021-08-03,1050.0,55,57750
2021-08-04,1050.0,42,44100
2021-08-05,1050.0,56,58550
2021-08-06,1050.0,54,56401
2021-08-07,1050.0,74,77700
2021-08-08,1050.0,51,53501
2021-08-09,1050.0,51,53550
2021-08-10,1050.0,61,63800
2021-08-11,1050.0,53,55650
2021-08-12,1050.0,48,50400
2021-08-13,1050.0,52,54600
2021-08-14,1050.0,50,52249
2021-08-15,1050.0,23,24150
2021-08-16,1050.0,47,49100
2021-08-17,1050.0,59,60452
2021-08-18,1050.0,26,27050
2021-08-19,1050.0,60,57400
2021-08-20,1050.0,87,90500
2021-08-21,1050.0,57,58317
2021-08-22,1050.0,60,57550
2021-08-23,1050.0,51,49950
2021-08-24,1050.0,58,58900
2021-08-25,1050.0,64,61750
2021-08-26,1050.0,59,57550
2021-08-27,1050.0,82,78400
2021-08-28,1050.0,70,67285
2021-08-29,1050.0,48,45750
2021-08-30,1050.0,50,48250
2021-08-31,1050.0,70,68300
2021-09-01,1050.0,72,68681
2021-09-02,1050.0,44,44600
2021-09-03,1050.0,69,67400
2021-09-04,1050.0,66,64900
2021-09-05,1050.0,72,69902
2021-09-06,1050.0,56,54800
2021-09-07,1050.0,58,56800
2021-09-08,1050.0,55,53500
2021-09-09,1050.0,66,64500
2021-09-10,1050.0,43,42350
2021-09-11,1050.0,37,35650
2021-09-12,1050.0,38,36450
2021-09-13,1050.0,51,49950
2021-09-14,1050.0,87,81900
2021-09-15,1050.0,72,71200
2021-09-16,1050.0,62,61500
2021-09-17,1050.0,50,46500
2021-09-18,1050.0,61,57312
2021-09-19,1050.0,71,70550
2021-09-20,1050.0,69,66850
2021-09-21,1050.0,44,41000
2021-09-22,1050.0,72,69750
2021-09-23,1050.0,80,75400
2021-09-24,1050.0,49,48250
2021-09-25,1050.0,70,66700
2021-09-26,1050.0,45,45250
2021-09-27,1050.0,77,74017
2021-09-28,1050.0,61,59250
2021-09-29,1050.0,55,52417
2021-09-30,1050.0,86,84700
2021-10-01,1050.0,84,81800
2021-10-02,1050.0,74,71850
2021-10-03,1050.0,80,78150
2021-10-04,1050.0,58,56900
2021-10-05,1050.0,52,51950
2021-10-06,1050.0,78,81900
2021-10-07,1086.0,50,53850
2021-10-08,1100.0,96,104778
2021-10-09,1100.0,71,77800
2021-10-10,1100.0,76,83166
2021-10-11,1100.0,64,69363
2021-10-12,1100.0,44,48300
2021-10-13,1100.0,64,69837
2021-10-14,1100.0,59,64450
2021-10-15,1100.0,55,60100
2021-10-16,1100.0,75,81422
2021-10-17,1100.0,57,62400
2021-10-18,1100.0,74,81083
2021-10-19,1100.0,52,57200
2021-10-20,1100.0,43,47116
2021-10-21,1100.0,69,74855
2021-10-22,1100.0,75,78737
2021-10-23,1100.0,65,71200
2021-10-24,1100.0,63,69300
2021-10-25,1100.0,76,83000
2021-10-26,1100.0,36,39000
2021-10-27,1100.0,44,47800
2021-10-28,1100.0,69,75900
2021-10-29,1100.0,54,59400
2021-10-30,1100.0,74,81400
2021-10-31,1100.0,67,72267
2021-11-01,1100.0,51,56100
2021-11-02,1100.0,65,71500
2021-11-03,1100.0,62,67716
2021-11-04,1100.0,62,67933
2021-11-05,1100.0,78,85322
2021-11-06,1100.0,56,61600
2021-11-07,1100.0,56,61600
2021-11-08,1100.0,66,72165
2021-11-09,1100.0,60,66965
2021-11-10,1100.0,53,55300
2021-11-11,1100.0,49,50900
2021-11-12,1100.0,82,85410
2021-11-13,1100.0,66,68271
2021-11-14,1100.0,54,57110
2021-11-15,1100.0,51,52600
2021-11-16,1100.0,28,29655
2021-11-17,1100.0,92,95166
2021-11-18,1100.0,68,71800
2021-11-19,1100.0,70,70355
2021-11-20,1100.0,53,53790
2021-11-21,1100.0,80,80500
2021-11-22,1100.0,39,40777
2021-11-23,1100.0,64,64922
2021-11-24,1100.0,57,59700
2021-11-25,1100.0,90,91710
2021-11-26,1100.0,69,72535
2021-11-27,1100.0,81,84548
2021-11-28,1100.0,71,71600
2021-11-29,1100.0,58,58619
2021-11-30,1100.0,73,71474
2021-12-01,1100.0,90,88355
2021-12-02,1100.0,80,82000
2021-12-03,1100.0,97,95016
2021-12-04,1100.0,68,66655
2021-12-05,1100.0,82,79839
2021-12-06,1100.0,67,66055
2021-12-07,1100.0,82,79600
2021-12-08,1100.0,74,72218
2021-12-09,1100.0,70,70500
2021-12-10,1100.0,83,81882
2021-12-11,1100.0,110,107316
2021-12-12,1100.0,77,77700
2021-12-13,1100.0,90,86655
2021-12-14,1100.0,94,92246
2021-12-15,1100.0,83,84300
2021-12-16,1100.0,89,89716
2021-12-17,1100.0,107,107700
2021-12-18,1100.0,82,83933
2021-12-19,1100.0,91,92739
2021-12-20,1100.0,67,67981
2021-12-21,1100.0,71,72556
2021-12-22,1100.0,69,75089
2021-12-23,1100.0,61,67100
2021-12-24,1100.0,73,79756
2021-12-25,1100.0,95,102907
2021-12-26,1100.0,34,37400
2021-12-27,1100.0,36,38508
2021-12-28,1100.0,57,61993
2021-12-29,1100.0,62,67376
2021-12-30,1100.0,117,128410
2021-12-31,1100.0,62,66874
2022-01-01,1100.0,93,100382
2022-01-02,1100.0,122,134055
2022-01-03,1100.0,80,87462
2022-01-04,1100.0,83,90329
2022-01-05,1100.0,76,83600
2022-01-06,1100.0,110,121000
2022-01-07,1100.0,118,129800
2022-01-08,1100.0,84,91179
2022-01-09,1100.0,65,71355
2022-01-10,1100.0,70,76710
2022-01-11,1100.0,84,92110
2022-01-12,1100.0,105,115088
2022-01-13,1100.0,103,113300
2022-01-14,1100.0,109,118930
2022-01-15,1100.0,135,148500
2022-01-16,1100.0,96,105455
2022-01-17,1100.0,67,73565
2022-01-18,1100.0,61,65984
2022-01-19,1100.0,60,64818
2022-01-20,1100.0,81,88955
2022-01-21,1100.0,62,67229
2022-01-22,1100.0,64,69988
2022-01-23,1100.0,68,74800
2022-01-24,1100.0,88,96655
2022-01-25,1100.0,59,64695
2022-01-26,1100.0,57,62555
2022-01-27,1100.0,63,68510
2022-01-28,1100.0,85,93088
2022-01-29,1100.0,95,103920
2022-01-30,1100.0,62,67375
2022-01-31,1100.0,68,74100
